id,user_id,"activity_name","activity_description","created_at","updated_at"
1,1,"join","Tri joined Dating Over Meal","2011-08-19 17:58:42","2011-08-19 17:58:42"
2,2,"join","Vuong joined Dating Over Meal","2011-08-19 20:32:11","2011-08-19 20:32:11"
3,3,"join","Ronin joined Dating Over Meal","2011-08-19 20:32:45","2011-08-19 20:32:45"
4,4,"join","Dorothy joined Dating Over Meal","2011-09-05 19:10:04","2011-09-05 19:10:04"
5,5,"join","Jennifer joined Dating Over Meal","2011-09-05 19:10:04","2011-09-05 19:10:04"
6,6,"join","Adam joined Dating Over Meal","2011-09-05 19:10:05","2011-09-05 19:10:05"
7,7,"join","Ruth joined Dating Over Meal","2011-09-05 19:10:05","2011-09-05 19:10:05"
8,8,"join","James joined Dating Over Meal","2011-09-05 19:10:05","2011-09-05 19:10:05"
9,9,"join","Marcus joined Dating Over Meal","2011-09-05 19:10:05","2011-09-05 19:10:05"
10,10,"join","Anne joined Dating Over Meal","2011-09-05 19:10:05","2011-09-05 19:10:05"
11,11,"join","Richard joined Dating Over Meal","2011-09-05 19:10:05","2011-09-05 19:10:05"
12,12,"join","Helena joined Dating Over Meal","2011-09-05 19:10:05","2011-09-05 19:10:05"
13,13,"join","Carol joined Dating Over Meal","2011-09-05 19:10:05","2011-09-05 19:10:05"
14,14,"join","Jennifer joined Dating Over Meal","2011-09-05 19:10:05","2011-09-05 19:10:05"
15,15,"join","Harold joined Dating Over Meal","2011-09-05 19:10:06","2011-09-05 19:10:06"
16,16,"join","Lisa joined Dating Over Meal","2011-09-05 19:10:06","2011-09-05 19:10:06"
17,17,"join","Kevin joined Dating Over Meal","2011-09-05 19:10:06","2011-09-05 19:10:06"
18,18,"join","Diana joined Dating Over Meal","2011-09-05 19:10:06","2011-09-05 19:10:06"
19,19,"join","John joined Dating Over Meal","2011-09-05 19:10:06","2011-09-05 19:10:06"
20,20,"join","Deborah joined Dating Over Meal","2011-09-05 19:10:06","2011-09-05 19:10:06"
21,21,"join","Brian joined Dating Over Meal","2011-09-05 19:10:06","2011-09-05 19:10:06"
22,22,"join","Mark joined Dating Over Meal","2011-09-05 19:10:06","2011-09-05 19:10:06"
23,23,"join","Cheryl joined Dating Over Meal","2011-09-05 19:10:07","2011-09-05 19:10:07"
24,24,"join","Cheryl joined Dating Over Meal","2011-09-05 19:10:07","2011-09-05 19:10:07"
25,25,"join","Edward joined Dating Over Meal","2011-09-05 19:10:07","2011-09-05 19:10:07"
26,26,"join","Wendy joined Dating Over Meal","2011-09-05 19:10:07","2011-09-05 19:10:07"
27,27,"join","Deborah joined Dating Over Meal","2011-09-05 19:10:07","2011-09-05 19:10:07"
28,28,"join","Jennifer joined Dating Over Meal","2011-09-05 19:10:07","2011-09-05 19:10:07"
