id,imageable_id,"imageable_type","picture_file_name","picture_content_type",picture_file_size,"picture_updated_at",is_primary,"created_at","updated_at"
1,1,"Place","4654.jpg","image/jpeg",18645,"2011-08-28 04:57:54",0,"2011-08-28 04:57:54","2011-08-28 04:57:58"
2,2,"Place","14959.jpg","image/jpeg",40651,"2011-08-28 04:57:58",0,"2011-08-28 04:57:58","2011-08-28 04:58:02"
3,3,"Place","23896.jpg","image/jpeg",10941,"2011-08-28 04:58:02",0,"2011-08-28 04:58:02","2011-08-28 04:58:05"
4,4,"Place","20446.jpg","image/jpeg",37627,"2011-08-28 04:58:05",0,"2011-08-28 04:58:06","2011-08-28 04:58:09"
5,6,"Place","2046.jpg","image/jpeg",41052,"2011-08-28 04:58:09",0,"2011-08-28 04:58:09","2011-08-28 04:58:13"
6,8,"Place","4285.jpg","image/jpeg",13587,"2011-08-28 04:58:13",0,"2011-08-28 04:58:13","2011-08-28 04:58:16"
7,9,"Place","32779.jpg","image/jpeg",11141,"2011-08-28 04:58:16",0,"2011-08-28 04:58:16","2011-08-28 04:58:19"
8,10,"Place","55462.jpg","image/jpeg",15446,"2011-08-28 04:58:19",0,"2011-08-28 04:58:19","2011-08-28 04:58:23"
9,11,"Place","24697.jpg","image/jpeg",16445,"2011-08-28 04:58:23",0,"2011-08-28 04:58:23","2011-08-28 04:58:26"
10,14,"Place","25246.jpg","image/jpeg",49494,"2011-08-28 04:58:26",0,"2011-08-28 04:58:26","2011-08-28 04:58:30"
11,15,"Place","37912.jpg","image/jpeg",71235,"2011-08-28 04:58:30",0,"2011-08-28 04:58:30","2011-08-28 04:58:34"
12,16,"Place","11674.jpg","image/jpeg",49388,"2011-08-28 04:58:34",0,"2011-08-28 04:58:34","2011-08-28 04:58:38"
13,17,"Place","15841.jpg","image/jpeg",52005,"2011-08-28 04:58:38",0,"2011-08-28 04:58:38","2011-08-28 04:58:44"
14,18,"Place","1816.jpg","image/jpeg",41484,"2011-08-28 04:58:44",0,"2011-08-28 04:58:44","2011-08-28 04:58:47"
15,19,"Place","53617.jpg","image/jpeg",14918,"2011-08-28 04:58:47",0,"2011-08-28 04:58:48","2011-08-28 04:58:51"
16,20,"Place","597.jpg","image/jpeg",47355,"2011-08-28 04:58:51",0,"2011-08-28 04:58:51","2011-08-28 04:58:55"
17,21,"Place","1083.jpg","image/jpeg",42380,"2011-08-28 04:58:55",0,"2011-08-28 04:58:55","2011-08-28 04:58:58"
18,22,"Place","2999.jpg","image/jpeg",41401,"2011-08-28 04:58:58",0,"2011-08-28 04:58:58","2011-08-28 04:59:02"
19,23,"Place","34861.jpg","image/jpeg",14730,"2011-08-28 04:59:02",0,"2011-08-28 04:59:02","2011-08-28 04:59:05"
20,24,"Place","34864.jpg","image/jpeg",18341,"2011-08-28 04:59:05",0,"2011-08-28 04:59:05","2011-08-28 04:59:09"
21,25,"Place","14962.jpg","image/jpeg",45200,"2011-08-28 04:59:09",0,"2011-08-28 04:59:09","2011-08-28 04:59:13"
22,26,"Place","2392.jpg","image/jpeg",41030,"2011-08-28 04:59:13",0,"2011-08-28 04:59:13","2011-08-28 04:59:17"
23,27,"Place","19675.jpg","image/jpeg",41792,"2011-08-28 04:59:17",0,"2011-08-28 04:59:17","2011-08-28 04:59:21"
24,29,"Place","7236.jpg","image/jpeg",16105,"2011-08-28 04:59:21",0,"2011-08-28 04:59:21","2011-08-28 04:59:24"
25,31,"Place","4980.jpg","image/jpeg",51910,"2011-08-28 04:59:24",0,"2011-08-28 04:59:24","2011-08-28 04:59:28"
26,33,"Place","6664.jpg","image/jpeg",59698,"2011-08-28 04:59:28",0,"2011-08-28 04:59:28","2011-08-28 04:59:32"
27,34,"Place","5532.jpg","image/jpeg",9975,"2011-08-28 04:59:32",0,"2011-08-28 04:59:33","2011-08-28 04:59:36"
28,36,"Place","25369.jpg","image/jpeg",56152,"2011-08-28 04:59:36",0,"2011-08-28 04:59:36","2011-08-28 04:59:40"
29,37,"Place","66283.jpg","image/jpeg",10967,"2011-08-28 04:59:40",0,"2011-08-28 04:59:40","2011-08-28 04:59:44"
30,39,"Place","12466.jpg","image/jpeg",50939,"2011-08-28 04:59:44",0,"2011-08-28 04:59:44","2011-08-28 04:59:48"
31,40,"Place","21475.jpg","image/jpeg",8826,"2011-08-28 04:59:48",0,"2011-08-28 04:59:48","2011-08-28 04:59:51"
32,41,"Place","49183.jpg","image/jpeg",26056,"2011-08-28 04:59:51",0,"2011-08-28 04:59:51","2011-08-28 04:59:54"
33,43,"Place","57373.jpg","image/jpeg",11732,"2011-08-28 04:59:54",0,"2011-08-28 04:59:54","2011-08-28 04:59:57"
34,44,"Place","35749.jpg","image/jpeg",53888,"2011-08-28 04:59:57",0,"2011-08-28 04:59:58","2011-08-28 05:00:02"
35,45,"Place","594.jpg","image/jpeg",9227,"2011-08-28 05:00:02",0,"2011-08-28 05:00:02","2011-08-28 05:00:05"
36,46,"Place","4032.jpg","image/jpeg",12302,"2011-08-28 05:00:05",0,"2011-08-28 05:00:05","2011-08-28 05:00:08"
37,47,"Place","29485.jpg","image/jpeg",15920,"2011-08-28 05:00:09",0,"2011-08-28 05:00:09","2011-08-28 05:00:12"
38,48,"Place","51127.jpg","image/jpeg",8003,"2011-08-28 05:00:12",0,"2011-08-28 05:00:12","2011-08-28 05:00:16"
39,49,"Place","1555.jpg","image/jpeg",57612,"2011-08-28 05:00:16",0,"2011-08-28 05:00:16","2011-08-28 05:00:21"
40,50,"Place","18838.jpg","image/jpeg",53531,"2011-08-28 05:00:21",0,"2011-08-28 05:00:21","2011-08-28 05:00:26"
